;;;;;;;;;;;;;;;;;;;;;
11-mars-24;"DYNAMIQUE DE GROUPE GILDAS
+OFFICE 365";12-mars-24;"THEORIE RESEAU
ILAN
CCP1A
CCP1C";13-mars-24;"THEORIE RESEAU
ILAN
CCP1A
CCP1C";14-mars-24;"THEORIE RESEAU
ILAN
CCP1A
CCP1C  EVALUATION A CHAUD SUR TEAMS";15-mars-24;Demarche Externe;28;;;;;;;;;;;
18-mars-24;"éléction des délégués / INFRA SERVEUR
CCP 1A-1B-1C-2B
Abdoulaye
";19-mars-24;"INFRA SERVEUR
CCP 1A-1B-1C-2B
Abdoulaye
";20-mars-24;"INFRA SERVEUR
CCP 1A-1B-1C-2B
Abdoulaye
";21-mars-24;"INFRA SERVEUR
CCP 1A-1B-1C-2B
Abdoulaye
";22-mars-24;"INFRA SERVEUR
CCP 1A-1B-1C-2B
Abdoulaye
";35;;;CCP1. Automatiser le déploiement d’une infrastructure dans le cloud;;;;;;;;
25-mars-24;"TP CISCO PACKET TRACER
CCP 1A-1B-1C-2B";26-mars-24;"GIT/GITHUB
CCP2A-2B
GANESH";27-mars-24;"GITLAB
CCP2A-2B
GANESH";28-mars-24;"DOSSIER PRO
Examen
Gildas";29-mars-24;"TP  AUTONOMIE 
CCP2A-2B              ";35;;;CCP1A;Automatiser la création de serveurs à l’aide de scripts;;;;;;;
1-avr.-24;JOUR FERIES;2-avr.-24;"METHODO DE PROJET
PASCAL";3-avr.-24;"METHODO DE PROJET
PASCAL";4-avr.-24;"METHODO DE PROJET
PASCAL";5-avr.-24;"ENTRETIENS DE MEDIATION GILDAS +METHODO DE PROJET
PASCAL";28;;;;;;;;;;;
8-avr.-24;"SCRIPTING
WINDOWS
CCP 1A-1B-1C-2B
ABDOULAYE";9-avr.-24;"SCRIPTING
WINDOWS
CCP 1A-1B-1C-2B
ABDOULAYE";10-avr.-24;"SCRIPTING
WINDOWS
CCP 1A-1B-1C-2B
ABDOULAYE";11-avr.-24;"TP
SCRIPT
CCP 1A-1B-1C-2B
";12-avr.-24;"SCRIPTING
WINDOWS
CCP 1A-1B-1C-2B
ABDOULAYE";35;;;CCP1B;Automatiser le déploiement d'une infrastructure;;;;;;;
15-avr.-24;"SCRIPTING LINUX
CCP 1A-1B-1C-2B
Abdoulaye";16-avr.-24;"SCRIPTING LINUX
CCP 1A-1B-1C-2B
Abdoulaye";17-avr.-24;"SCRIPTING LINUX
CCP 1A-1B-1C-2B
Abdoulaye";18-avr.-24;"EVAL SCRIPTING
CCP 1A-1B-1C-2B";19-avr.-24;"SCRIPTING LINUX
CCP 1A-1B-1C-2B
Abdoulaye";35;;;;;;;;;;;
22-avr.-24;"DOCKER
CCP2C
GANESH
";23-avr.-24;"DOCKER
CCP2C
GANESH
";24-avr.-24;"RECHERCHE DE STAGE
";25-avr.-24;"DOCKER
CCP2C
GANESH
";26-avr.-24;"QUESTIONNAIRE SATISFACTION A CHAUD + EVAL DOCKER
CCP2C
GANESH";35;;;CCP1C;Sécuriser l’infrastructure;;;;;;;
29-avr.-24;"KUBERNETES
CCP1D--2B-2C-2D
EDUCENTRE";30-avr.-24;"KUBERNETES
CCP1D--2B-2C-2D
EDUCENTRE";1-mai-24;JOUR FERIES;2-mai-24;"KUBERNETES
CCP1D--2B-2C-2D
EDUCENTRE";3-mai-24;"QUESTIONNAIRE SATISFACTION A CHAUD + KUBERNETES
CCP1D--2B-2C-2D
EDUCENTRE";28;;;CCP1D;Mettre l’infrastructure en production dans le cloud;;;;;;;
6-mai-24;"ANGLAIS
CCP3C
GILLES
";7-mai-24;"QUESTIONNAIRE SATISFACTION A CHAUD + ANGLAIS
CCP3C
GILLES
";8-mai-24;JOUR FERIES;9-mai-24;JOUR FERIES;10-mai-24;TP AUTONOMIE;21;;;;;;;;;;;
13-mai-24;"JENKINS
CCP1D-2A
EDUCENTRE";14-mai-24;"JENKINS
CCP1D-2A
EDUCENTRE";15-mai-24;"QUESTIONNAIRE SATISFACTION A CHAUD + JENKINS
CCP1D-2A
EDUCENTRE";16-mai-24;"SONARQUBE
CCP2A
EDUCENTRE
";17-mai-24;"SONARQUBE
CCP2A
EDUCENTRE
";35;;;;;;;;;;;
